Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-04-18,7.86177,7.86177,6.20315,6.32311,1851470.8217023
2007-04-19,6.33643,6.86269,6.26308,6.68281,431807.2410999
2007-04-20,6.7961,6.88906,6.58967,6.86269,169035.44433169
2007-04-23,7.06275,7.06275,6.59651,6.66931,69164.665948961
2007-04-24,6.62953,6.62953,6.49644,6.52937,31211.468109469
2007-04-25,6.52937,6.72961,6.39646,6.72276,43793.837839747
2007-04-26,6.72961,6.72961,6.54989,6.6164,27695.90270391
2007-04-27,6.59651,6.70279,6.51633,6.6631,66572.114597496
2007-04-30,6.82968,6.92884,6.73645,6.86269,59037.820543114
2007-05-02,6.86269,6.92309,6.80313,6.80924,19626.655135991
2007-05-04,6.80313,6.99624,6.72961,6.99624,68185.744867837
2007-05-07,6.99624,6.99624,6.7961,6.94252,37761.360001646
2007-05-08,6.86963,6.86963,6.6631,6.6631,39989.967569311
2007-05-09,6.6631,6.75642,6.6164,6.6631,13632.544865459
2007-05-10,6.72961,6.72961,6.52937,6.64942,25610.899460576
2007-05-11,6.64942,6.64942,6.23645,6.64942,86648.218382155
2007-05-14,6.65635,6.6631,6.52937,6.59651,8258.892973333
2007-05-15,6.6226,6.6631,6.52937,6.64942,26552.549190347
2007-05-16,6.65635,6.65635,6.52937,6.63628,3935.4162163878
2007-05-17,6.56978,6.56978,6.40978,6.46314,24742.696217295
2007-05-18,6.56303,6.56303,6.34975,6.39646,7852.196757099
2007-05-21,6.41644,6.49644,6.40978,6.40978,10104.921081522
2007-05-22,6.46962,6.46962,6.37639,6.423,34313.760001496
2007-05-23,6.41644,6.41644,6.36973,6.39646,12004.663784307
2007-05-24,6.32968,6.42966,6.31645,6.39646,16142.880000704
2007-05-25,6.36973,6.58282,6.36973,6.58282,3900.3372974673
2007-05-28,6.56303,6.82968,6.56303,6.76254,32392.092974385
2007-05-29,6.76254,6.76254,6.62953,6.6631,47457.392434501
2007-05-30,6.59651,6.6631,6.41644,6.6631,19224.343784622
2007-05-31,6.53612,6.7961,6.49644,6.76254,67145.435678603
2007-06-01,6.6631,6.80924,6.6631,6.74274,36668.432434031
2007-06-04,6.6631,6.85577,6.6631,6.82968,30284.069190509
2007-06-05,6.89635,6.92884,6.7961,6.82968,18815.455135955
2007-06-06,6.86269,7.06275,6.7961,6.91588,74081.195678905
2007-06-08,6.82968,6.82968,6.68281,6.71592,34636.047569077
2007-06-11,6.72961,6.86269,6.72961,6.82968,38863.057298991
2007-06-12,6.82968,6.82968,6.78306,6.7961,79222.449733183
2007-06-13,6.86963,6.93595,6.76938,6.86269,49363.712434584
2007-06-14,6.89635,6.89635,6.82968,6.86269,28692.363244494
2007-06-15,6.90931,6.90931,6.6631,6.7961,28249.491893123
2007-06-18,6.84965,6.85577,6.76938,6.7961,58358.16648903
2007-06-19,6.7961,7.29592,6.76938,7.26271,117362.00432944
2007-06-20,7.23024,7.32912,6.88259,6.99624,98797.582707009
